system:index,centroid_lat,centroid_lon,ndvi,year,.geo
0_94,-28.432500010169566,-53.98849999999995,7937.05888834476,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.436999999999994],[-53.984,-28.437],[-53.983999999999995,-28.428],[-53.993,-28.428],[-53.993,-28.436999999999994]]]}"
0_95,-28.42350001019685,-53.988499999999696,7403.707435520731,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.428],[-53.983999999999995,-28.428],[-53.984,-28.419000000000004],[-53.993,-28.418999999999997],[-53.993,-28.428]]]}"
0_96,-28.414500010220372,-53.98850000000175,7488.1902138426385,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.418999999999997],[-53.984,-28.419000000000004],[-53.984,-28.41],[-53.993,-28.41],[-53.993,-28.418999999999997]]]}"
0_97,-28.40550001025031,-53.98850000000788,7590.272771792361,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.41],[-53.984,-28.41],[-53.983999999999995,-28.401000000000003],[-53.993,-28.401000000000003],[-53.993,-28.41]]]}"
0_98,-28.3965000102204,-53.98850000000624,7646.637283708783,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.401000000000003],[-53.983999999999995,-28.401000000000003],[-53.984,-28.391999999999996],[-53.993,-28.391999999999996],[-53.993,-28.401000000000003]]]}"
0_99,-28.387500010243723,-53.98850000001212,7719.959557623245,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.391999999999996],[-53.984,-28.391999999999996],[-53.984,-28.382999999999996],[-53.99300000000001,-28.383],[-53.993,-28.391999999999996]]]}"
0_100,-28.378500010271523,-53.98850000001369,7645.372633039505,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.99300000000001,-28.383],[-53.984,-28.382999999999996],[-53.983999999999995,-28.374],[-53.993,-28.374],[-53.99300000000001,-28.383]]]}"
0_101,-28.369500010250416,-53.98850000001777,7674.0571779044,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.374],[-53.983999999999995,-28.374],[-53.984,-28.365],[-53.993,-28.365],[-53.993,-28.374]]]}"
0_102,-28.360500010270943,-53.988500000021,7399.825625968518,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.365],[-53.984,-28.365],[-53.984,-28.355999999999995],[-53.993,-28.355999999999995],[-53.993,-28.365]]]}"
0_103,-28.351500010281157,-53.98850000001156,7368.549343446702,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-53.993,-28.356],[-53.984,-28.356],[-53.984,-28.347000000000005],[-53.993,-28.347],[-53.993,-28.356]]]}"
